"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","login page is accessible and loads correctly @accessibility @a11y","accessibility","2026-07-28","skipped","2026-07-28","Login Page - Accessibility @accessibility","accessibility\loginPage.a11y.spec.ts","",""
"","4854","should login successfully with valid admin credentials @smoke @critical","chromium","2026-09-06","passed","2026-09-06","Authentication - Login @auth","ui\auth\login.spec.ts","",""
"","4031","@smoke Home page opens","chromium","2026-07-03","passed","2026-07-03","","temp.spec.ts","",""
"","0","application is accessible and login page loads @smoke @auth","firefox","2026-07-28","skipped","2026-07-28","Login Page - Smoke @smoke","ui\auth\loginPage.smoke.spec.ts","",""
"","2231","login page URL is correct @smoke @auth","chromium","2026-09-06","passed","2026-09-06","Login Page - Smoke @smoke","ui\auth\loginPage.smoke.spec.ts","",""
"","1","application is accessible and login page loads @smoke @auth","webkit","2026-07-28","skipped","2026-07-28","Login Page - Smoke @smoke","ui\auth\loginPage.smoke.spec.ts","",""
"","0","login page URL is correct @smoke @auth","webkit","2026-07-28","skipped","2026-07-28","Login Page - Smoke @smoke","ui\auth\loginPage.smoke.spec.ts","",""
"","5046","@smoke Home page opens","firefox","2026-07-03","passed","2026-07-03","","temp.spec.ts","",""
"","3914","verify allure reporter captures test metadata","chromium","2026-07-07","passed","2026-07-07","Allure Reporter Verification @smoke","ui\auth\temp-allure-test.spec.ts","",""
"","0","@smoke Home page opens @accessibility","webkit","2026-07-04","skipped","2026-07-04","","temp.spec.ts","",""
"","0","@smoke Home page opens @accessibility","firefox","2026-07-04","skipped","2026-07-04","","temp.spec.ts","",""
"","0","login page URL is correct @smoke @auth","firefox","2026-07-28","skipped","2026-07-28","Login Page - Smoke @smoke","ui\auth\loginPage.smoke.spec.ts","",""
"","2","login page is accessible and loads correctly @accessibility @a11y","chromium","2026-07-28","skipped","2026-07-28","Login Page - Accessibility @accessibility","accessibility\loginPage.a11y.spec.ts","",""
"","1","@smoke Home page opens @accessibility","chromium","2026-07-04","skipped","2026-07-04","","temp.spec.ts","",""
"","2530","application is accessible and login page loads @smoke @auth","chromium","2026-09-06","passed","2026-09-06","Login Page - Smoke @smoke","ui\auth\loginPage.smoke.spec.ts","",""
"","6037","@smoke Home page opens","webkit","2026-07-03","passed","2026-07-03","","temp.spec.ts","",""
